Sr,Title,Name as per Document (e.g. Leaving Certificate),Birth Date,Student Status,Application No.,Institute,Course,Program,Admission Quota,Student Phone 1,Student Phone 2,Whatsapp No.,Email,Email Alternate,Emergency Contact No.,Father Mobile No.,Mother Mobile No.,Guardian Mobile No.,Aadhaar Card No.
3626,Mr,Lavanya Amble,29-03-1982,Duplicate,25UG550907,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,7193055014,5406459730,7193055014,shamikbaria@yahoo.com,amiravig@yahoo.com,7782153380,3405594920,2150357645,7681696438,9.6518E+11
3627,Mr,Arhaan Bir,03-10-1988,Duplicate,25PG870964,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,6758823573,7058009752,6758823573,vaibhavdugal@hotmail.com,skhosla@vaidya-aggarwal.com,1370067281,5678764958,2460667824,7358577773,5.85146E+11
3628,Dr,Vihaan Sane,02-06-1994,Provisionally Admitted,25PG815973,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,6621637064,4982015443,6621637064,purab62@gmail.com,ira70@hotmail.com,3088699869,7798847924,8620703758,8862503322,2.7136E+11
3629,Mr,Saksham Agate,23-04-1976,Provisionally Admitted,25UG186529,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,6347872500,8056624567,6347872500,navyasaran@gmail.com,tgokhale@gaba.com,5160203697,1838863377,2035373947,8176085074,8.05202E+11
3630,Dr,Tejas Kalla,27-06-1975,Duplicate,25UG487977,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,4082119153,6893241138,4082119153,romil79@yogi.org,adira58@hotmail.com,2227998441,5360267952,5380384156,5805057448,9.51255E+11
3631,Ms,Yashvi Krishnamurthy,15-07-2002,Provisionally Admitted,25UG880928,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1472921625,7383725804,1472921625,arnavbhargava@talwar.info,fhayer@hotmail.com,1181628202,9478693976,4278591106,6881745730,9.29476E+11
3632,Dr,Diya Sandal,29-03-1976,Duplicate,25UG183579,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,5242888811,3133218859,5242888811,shamikkurian@mallick-dada.com,rattannavya@thaker-gade.com,5647862822,2073857176,7219017095,7521051057,1.54668E+11
3633,Ms,Ishita Suresh,11-01-2006,Provisionally Admitted,25PG285150,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3175339267,2342324840,3175339267,regedevansh@jha.com,majumdarjivika@yahoo.com,3118277369,6290134635,9413632293,2435140754,2.98266E+11
3634,Miss,Aaina Basak,11-12-1972,Provisionally Admitted,25PG587899,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5678456560,6206705497,5678456560,pahuja@reddy.info,choudhuryira@hotmail.com,7344517776,3838926761,327041545,9541241156,4.787E+11
3635,Dr,Vihaan Bains,02-04-1975,Provisionally Admitted,25UG764791,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,701080101,2605256989,701080101,shlok62@hotmail.com,nitarabhasin@sridhar.com,8711058432,6238865018,607331958,5779831151,7.80711E+11
3636,Miss,Chirag Dewan,02-04-1992,Provisionally Admitted,25UG547673,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Installment,6859313134,1281020148,6859313134,dhruv68@comar.com,uvala@hotmail.com,8194671599,6428610305,6165736290,4427155638,2.12339E+11
3637,Miss,Prisha Ahluwalia,08-04-1976,Duplicate,25UG728505,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4281197541,8724218900,4281197541,bhavin83@shukla-samra.com,rajagopalanhimmat@khalsa-kibe.org,5159789753,7436885783,5766671139,1793978075,4.42994E+11
3638,Mr,Dhanuk Dalal,27-01-2006,Duplicate,25UG171966,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,7310503880,8481156698,7310503880,dhruvthaker@yahoo.com,mannanshray@hotmail.com,1160010852,2690945183,7054180144,1969641181,2.87602E+11
3639,Ms,Aarna Mandal,14-06-1973,Duplicate,25PG185532,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,8395167316,8877037279,8395167316,kalerania@gmail.com,yohannangatik@hotmail.com,1412794689,4579617171,2291241181,5029596366,4.86405E+11
3640,Ms,Lavanya Sachdeva,02-01-2002,Provisionally Admitted,25UG205189,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,341197789,9141914186,341197789,bkade@gmail.com,shayakvarma@edwin.com,7351319105,4709064102,7535423884,9678051913,7.70158E+11
3641,Dr,Miraan Amble,11-09-1995,Provisionally Admitted,25UG951671,Centre for Distance and Online Education,MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Lumpsum,6884186680,4841725318,6884186680,veersem@banerjee.org,kalitasamarth@gmail.com,2254311000,3048640331,9775624056,9542845824,1.92726E+11
3642,Ms,Pranay Bava,24-02-1999,Duplicate,25UG130927,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,2879939016,8967760446,2879939016,tanyaviswanathan@barad.com,kimayabasak@chanda.org,8727157096,8012307594,9012575369,4702402027,2.57023E+11
3643,Mr,Anahita Chakrabarti,26-08-1983,Duplicate,25PG671948,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Lumpsum,601615268,4239589319,601615268,drishya93@yahoo.com,advikathaman@tara.com,262790212,2702161470,677218830,2385518717,7.69807E+11
3644,Dr,Kashvi Sharma,13-01-2002,Duplicate,25UG468267,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,8432071222,124158972,8432071222,ldara@gmail.com,hridaankhatri@yahoo.com,4107537496,4753659679,5380693750,9839481995,3.46861E+11
3645,Mrs,Divyansh Venkatesh,19-07-1986,Provisionally Admitted,25PG672747,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,4041853173,7321462638,4041853173,gagrawal@yahoo.com,dhardivij@deshmukh.com,7908802287,5377654013,7856630958,2915030745,6.76617E+11
3646,Dr,Vivaan Sahni,30-07-1973,Duplicate,25UG444438,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,5748172076,8883170824,5748172076,riaan90@trivedi-agarwal.com,onkarbanerjee@gmail.com,9563962539,4079567264,9426104843,4635514918,8.58788E+11
3647,Mr,Urvi Madan,21-12-1990,Provisionally Admitted,25PG830555,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,2814161055,9011018427,2814161055,vritikabiswas@shukla-subramaniam.com,sarnahrishita@yahoo.com,4965907964,4996089933,2348382371,6183230562,2.879E+11
3648,Mr,Urvi Majumdar,23-06-2003,Duplicate,25PG777300,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3076719314,5682769341,3076719314,parinaaz55@hotmail.com,ssinha@gmail.com,3292879935,5604351846,7493163612,2586560431,7.53059E+11
3649,Dr,Jayan Choudhury,03-10-1975,Duplicate,25PG826568,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,5283251922,3703857720,5283251922,aramesh@singh.info,saxenaadira@yahoo.com,3270366639,5826933546,3363434465,5602876449,8.80656E+11
3650,Ms,Vihaan Chokshi,26-02-1994,Duplicate,25PG359726,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1615214299,1269930291,1615214299,jhaindrans@ben.com,dishanikarpe@gmail.com,1481806300,9882407651,8828554646,8427366495,8.23734E+11
3651,Miss,Kimaya Varkey,23-02-1996,Provisionally Admitted,25UG857582,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,4907557980,1184543286,4907557980,qsetty@dave.org,vivaan71@gmail.com,3672857572,7258346239,4089400661,207022518,2.53753E+11
3652,Dr,Kanav Garg,19-04-1982,Duplicate,25PG889643,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,6786081071,7944829105,6786081071,nakul04@hotmail.com,ishita55@tara-sani.biz,7507191083,811218182,6008681467,6091263149,5.15781E+11
3653,Miss,Lakshay Devan,08-03-1993,Duplicate,25PG394766,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,1611893855,9041647615,1611893855,krishnaneva@kaur-gera.com,abail@hotmail.com,7674071828,9790241490,1894723762,6937160253,1.50974E+11
3654,Ms,Mehul Arora,15-12-1975,Provisionally Admitted,25PG145303,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,7030159019,8848898567,7030159019,kiaan13@yahoo.com,biju13@gmail.com,3595549337,952458045,776121979,8662720133,5.67804E+11
3655,Mr,Prerak Ratti,14-03-1971,Provisionally Admitted,25PG176582,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,6294407271,4891780834,6294407271,rohanchada@bakshi.com,shray59@hotmail.com,4116681519,8494748223,7458121398,5225421418,1.61025E+11
3656,Mr,Keya Setty,27-01-1975,Provisionally Admitted,25UG590240,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Lumpsum,2557794794,2960961887,2557794794,hraman@gmail.com,ckrishnan@khurana.com,6643094753,9507990748,1017855173,2410906406,2.7763E+11
3657,Ms,Rasha Badal,18-09-1998,Provisionally Admitted,25UG393179,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,3287080436,3974422465,3287080436,thakkarehsaan@yahoo.com,anahishroff@hotmail.com,3214281926,4948675755,2124766574,7527834291,6.83251E+11
3658,Dr,Mannat Din,11-05-1991,Duplicate,25PG866531,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,3331305345,4995188449,3331305345,jiya69@yahoo.com,zoyabatra@yahoo.com,778313002,7141252897,7870001803,41386028,6.36974E+11
3659,Ms,Lagan Chana,31-12-2002,Provisionally Admitted,25PG172422,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,5675701312,5825250761,5675701312,prishadevan@gmail.com,borderati@buch-andra.net,2198111324,1511453173,869069880,7821569800,1.68438E+11
3660,Dr,Hridaan Vohra,10-04-1993,Provisionally Admitted,25PG997039,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,4414729539,5248622607,4414729539,hiran94@swaminathan.com,sanghaumang@dixit-rastogi.com,1634955822,3837107654,5440022971,3385213733,9.70029E+11
3661,Mrs,Devansh Khare,08-02-2001,Provisionally Admitted,25PG285701,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5131311191,5531591522,5131311191,behlshray@gmail.com,amira61@ben-acharya.com,9692966221,4643962815,8527414000,374309390,5.66647E+11
3662,Mrs,Ahana  Sandal,07-08-2000,Provisionally Admitted,25PG159040,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,3441082638,7682383494,3441082638,wshan@hotmail.com,badamilavanya@jaggi.com,8630260546,9388870557,7460451682,9514637998,6.40734E+11
3663,Dr,Sahil Chhabra,26-06-2005,Provisionally Admitted,25PG281698,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,1627676443,2863537494,1627676443,akothari@dhar-chana.biz,kimayachoudhury@gmail.com,3305896040,7682444538,2299444582,3829561922,9.08269E+11
3664,Dr,Inaaya  Chana,08-03-1988,Duplicate,25UG516855,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,8302110493,2627715806,8302110493,waliaivan@hotmail.com,balaykhushi@yahoo.com,8003024835,7366221949,9949509736,9370444042,6.67568E+11
3665,Miss,Dhanuk Baria,23-03-1984,Provisionally Admitted,25UG974592,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,363345147,2848308122,363345147,indranilchoudhary@dara.info,behlsamaira@gmail.com,3080994476,7955891929,1665611585,6128064253,7.82502E+11
3666,Ms,Amani Solanki,17-05-1991,Provisionally Admitted,25UG814119,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,3684231534,4456165856,3684231534,tiya39@raj-kannan.com,goursaanvi@hotmail.com,9367461130,6617724493,5197006065,8529407698,1.12261E+11
3667,Miss,Eva Tak,31-08-1984,Duplicate,25PG215303,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,1604153231,3888009081,1604153231,zain00@hotmail.com,aggarwalehsaan@divan.com,8893079383,4806407093,7434778012,5618998401,1.76708E+11
3668,Mr,Romil Agrawal,18-07-1974,Provisionally Admitted,25PG103309,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,8341482332,5472760358,8341482332,aayush96@hotmail.com,gatikchaudhari@chokshi.com,6372717585,4811957317,6035583513,4975630024,2.82038E+11
3669,Dr,Hridaan Bhakta,13-05-2004,Duplicate,25PG565758,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,802991436,7169963006,802991436,deyhiran@chopra.info,elasehgal@gmail.com,115681141,1929478519,9683294073,7278401828,4.67004E+11
3670,Mr,Hrishita Balasubramanian,25-05-1970,Provisionally Admitted,25UG164543,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,9764695188,6874298251,9764695188,kalavardaniya@brahmbhatt-kota.com,himmatsood@hotmail.com,3245538494,9276038925,6666703785,1849245379,2.25075E+11
3671,Mr,Dhanush Walia,04-01-1996,Duplicate,25UG700720,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,1643697638,1719375281,1643697638,kjain@gmail.com,zbhat@gmail.com,7473190955,9927743897,8014566721,3298009205,7.78408E+11
3672,Mrs,Himmat Chandra,25-02-1981,Duplicate,25PG171951,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,6706922959,2488326829,6706922959,traj@bajaj.com,kanavdhingra@subramaniam.com,9726269313,9722678366,2892082217,552234668,9.91673E+11
3673,Mr,Gatik Chawla,06-12-2005,Provisionally Admitted,25UG917515,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,6435972138,6244044202,6435972138,wbhagat@kapoor-ratta.com,pranay10@batta.net,3474234300,7258106654,8401010017,1813246504,4.91542E+11
3674,Ms,Hrishita Dasgupta,22-06-2005,Provisionally Admitted,25UG555319,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,6385467501,3397059042,6385467501,prisha21@hotmail.com,saranshalv@bahri.com,48256728,715235044,9114718790,4804945594,5.03934E+11
3675,Miss,Aarav Rajan,10-12-1987,Duplicate,25UG619216,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,9737378631,7720820404,9737378631,ndalal@gmail.com,jgarg@hotmail.com,4350823251,4883730359,4489037413,8463684371,5.93313E+11
3676,Mr,Akarsh Dugar,05-11-1988,Provisionally Admitted,25UG320035,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,6793596483,7638053131,6793596483,kiara62@hotmail.com,ira69@gmail.com,368281270,391518598,280723163,9998394785,6.96852E+11
3677,Ms,Shayak Baral,27-12-1979,Duplicate,25UG740400,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,5340870892,7270674129,5340870892,vidurvirk@hotmail.com,rajritvik@suresh-kar.net,9218342207,8889145879,4716537514,9733165650,4.06812E+11
3678,Ms,Nakul Barad,09-12-1981,Provisionally Admitted,25PG127859,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,5302154847,9720785813,5302154847,hansh00@dey.com,adviksahota@raval.biz,2708583940,6133705370,9420977163,5387912348,7.62981E+11
3679,Miss,Chirag Chana,15-07-1974,Provisionally Admitted,25UG170304,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,807485355,2102925601,807485355,raunaksaxena@hotmail.com,irarama@hotmail.com,8756937064,7347217189,8435951535,6605984087,5.07545E+11
3680,Miss,Lavanya Amble,31-03-1973,Provisionally Admitted,25UG962828,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,5953923962,5960309793,5953923962,purabgandhi@gmail.com,deolprerak@bhalla-mallick.com,1547662578,1339835706,8594203232,8799844536,2.07994E+11
3681,Mrs,Ivan Raja,11-09-1974,Provisionally Admitted,25PG145001,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,2340176,9777854976,2340176,nayantaraboase@yahoo.com,ddevi@manda.com,3107151754,1514715195,5569302323,3938873729,1.16678E+11
3682,Mr,Gokul Kuruvilla,30-04-1995,Duplicate,25UG383174,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Installment,4311733897,2598904721,4311733897,chowdhurytiya@hotmail.com,okeer@bose-manne.com,6700277812,9376585974,3940147995,7321591654,3.88759E+11
3683,Mrs,Pari Kota,09-03-1983,Duplicate,25UG863638,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,4775644061,6992582367,4775644061,aliavaidya@ramakrishnan.com,nmannan@walia-hegde.com,1586104969,7934752889,2828821770,8536651185,3.54945E+11
3684,Miss,Uthkarsh Dhar,19-05-2004,Provisionally Admitted,25PG762625,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Installment,512937793,8390983289,512937793,qborde@hotmail.com,ishitakrishnamurthy@yahoo.com,7490683450,8026585812,2213248090,1402371184,5.62363E+11
3685,Miss,Tejas Bajaj,27-11-1972,Duplicate,25PG275265,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,2121154633,5351568673,2121154633,madhupborra@gmail.com,sureshlavanya@yahoo.com,771038166,9927927870,1261200892,950624872,1.7425E+11
3686,Miss,Aarush Doshi,01-02-1980,Provisionally Admitted,25UG706361,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,6016860410,4469372901,6016860410,aniruddh96@gill-sastry.com,sonianahita@atwal.info,7586074017,282634105,5210875858,2527603167,9.40577E+11
3687,Ms,Aniruddh Mani,29-08-1991,Provisionally Admitted,25PG662825,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,6859092436,1907395685,6859092436,piyabuch@hotmail.com,anay38@yahoo.com,7667108153,8240622220,3682508358,8147683826,5.16546E+11
3688,Miss,Kabir Dhaliwal,30-03-1992,Provisionally Admitted,25UG230592,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,1318053975,8642376511,1318053975,reddypihu@rastogi.com,samarth75@choudhry.biz,5798726093,1207010698,5517808320,7174940786,2.93218E+11
3689,Mrs,Nitya Sharma,11-02-1977,Provisionally Admitted,25UG974554,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,8939872501,1192835629,8939872501,rbandi@chowdhury.com,vyasritvik@gandhi.com,6083419288,7387841897,2091237163,1647112710,4.63336E+11
3690,Miss,Arhaan Balakrishnan,21-10-1995,Duplicate,25UG452152,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,1242377407,7019663095,1242377407,sumer53@dewan-bawa.biz,samihakrish@virk.biz,9759512894,2043461076,4097832287,529592380,6.6517E+11
3691,Ms,Ishita Jayaraman,14-11-2006,Provisionally Admitted,25PG590549,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,2526763519,5623877498,2526763519,nkarnik@gmail.com,ranbirbala@gokhale.com,6370083881,3544369391,6997964472,8218398242,1.56115E+11
3692,Dr,Tanya Jain,18-09-2003,Duplicate,25PG169320,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,7452487454,8258184434,7452487454,jayantbala@hotmail.com,kannanvardaniya@behl.com,3052230792,5493632101,782299961,4308772340,9.36348E+11
3693,Dr,Krish Seth,18-11-1988,Duplicate,25PG615954,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,5198299935,5234807245,5198299935,romilravi@yahoo.com,dubeyaayush@dora-warrior.net,3282216572,5344447101,7684066781,6800996206,1.69677E+11
3694,Dr,Ivan Kashyap,05-05-1983,Provisionally Admitted,25PG809663,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,4453946611,6452111280,4453946611,wbadal@chandran.com,manjarijani@kalita-kaur.com,5927685947,7719112296,1474403265,612734600,6.11757E+11
3695,Dr,Khushi Mangal,03-11-2003,Provisionally Admitted,25UG676591,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,2780969706,996678231,2780969706,vkanda@chaudhry.com,yuvaantandon@chauhan-rana.info,4715003273,9434141951,2936838472,9605329787,4.24728E+11
3696,Mr,Adira Butala,09-08-1982,Duplicate,25PG258415,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,6817658899,8099089065,6817658899,etailor@yahoo.com,jhanvi05@sarkar-srinivas.com,9618701213,1726865844,5494206188,2357942972,7.93415E+11
3697,Miss,Kavya Koshy,27-03-2005,Duplicate,25UG235171,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,8295658934,7253854497,8295658934,wabletanya@srivastava.net,izachariah@gmail.com,5432708590,9598748337,8364608065,6906714502,3.38069E+11
3698,Miss,Arhaan Suresh,16-11-1997,Provisionally Admitted,25PG567148,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5128293995,6570625475,5128293995,iyengartushar@bhatti.com,aayush52@anne.com,6562965323,8740158056,9038133455,7254191636,2.23999E+11
3699,Mrs,Tiya Babu,21-07-1981,Duplicate,25UG959985,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,4353876946,3734642714,4353876946,elakshisarkar@yahoo.com,keereshani@barad-lata.biz,3357008350,8090456511,6400445806,8351022178,6.68136E+11
3700,Mr,Kismat Hegde,04-12-2002,Provisionally Admitted,25UG660986,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,524981037,1574168462,524981037,hunar04@hotmail.com,shlok09@hotmail.com,6364895022,4049340103,1395466230,4533566454,3.69227E+11
3701,Ms,Seher Agrawal,09-07-1994,Duplicate,25UG646979,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,General - Lumpsum,494735260,3527510891,494735260,mmaster@karan.com,myra65@yahoo.com,4119397984,8310661145,9541956382,7185711434,5.89805E+11
3702,Ms,Aradhya Jayaraman,17-06-2002,Duplicate,25UG353346,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,556257584,2385076210,556257584,shray18@hotmail.com,ddass@joshi.net,2952037460,6292616290,4854557006,4259584874,9.33587E+11
3703,Mr,Nehmat Hari,22-03-1988,Duplicate,25UG837164,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,271475176,3295921297,271475176,mahallakshay@garde.info,kantsiya@barman-garde.com,6786716312,2062797547,1769047066,5994007736,7.78462E+11
3704,Mr,Rohan Buch,17-04-2000,Provisionally Admitted,25UG116478,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,7907660648,2603859847,7907660648,jivin94@chandra-sangha.net,kondasahil@gmail.com,1759039427,3120346797,332467806,2210584625,2.13039E+11
3705,Miss,Nitya Vohra,25-05-1973,Duplicate,25UG378275,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,1343954868,1782247383,1343954868,prishatata@korpal.com,duazoya@hotmail.com,6342069133,3419371024,2149830218,2688641611,9.7172E+11
3706,Mrs,Shlok Bajwa,30-04-1996,Duplicate,25PG235545,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3289847786,5700156912,3289847786,yguha@basak.biz,kiarasani@kara-ramakrishnan.net,8737031830,11214168,7637124081,1480071667,8.48236E+11
